state,age,gender,married,education,urban_rural,race,citizen,personal_income
AZ,57,female,married,no_degree,urban,black,1,45000
AZ,64,female,unmarried,no_degree,urban,black,1,10500
AZ,64,male,married,no_degree,urban,white,1,60000
AZ,37,female,unmarried,no_degree,urban,white,1,36000
AZ,49,male,married,no_degree,urban,white,1,130000
AZ,40,female,unmarried,no_degree,rural,white,1,7700
AZ,63,female,married,no_degree,urban,indigenous,1,37000
AZ,56,male,unmarried,no_degree,urban,white,0,34030
AZ,51,male,married,no_degree,urban,NA,1,2200
AZ,54,male,married,no_degree,urban,white,0,39000
AZ,34,male,unmarried,no_degree,urban,white,1,50000
AZ,24,female,unmarried,no_degree,urban,white,1,24000
AZ,50,female,married,college_degree,urban,black,1,110000
AZ,42,female,unmarried,no_degree,urban,white,1,30000
AZ,40,female,unmarried,college_degree,urban,white,1,131900
AZ,33,female,unmarried,college_degree,urban,asian,0,16200.000000000002
AZ,66,female,unmarried,college_degree,urban,white,1,24900.000000000004
AZ,60,male,married,no_degree,urban,indigenous,1,20000
AZ,39,female,married,college_degree,urban,asian,0,51000
AZ,32,female,unmarried,college_degree,urban,white,1,77000
AZ,32,male,unmarried,college_degree,urban,white,1,50000
AZ,51,male,unmarried,no_degree,urban,white,1,59000
AZ,58,female,unmarried,no_degree,urban,white,1,25000
AZ,26,female,married,no_degree,urban,white,1,10000
AZ,62,female,married,no_degree,urban,white,1,40800
AZ,52,male,married,no_degree,urban,white,1,60000
AZ,34,female,unmarried,college_degree,urban,white,1,37000
AZ,52,male,married,no_degree,urban,white,1,26000
AZ,59,female,married,no_degree,urban,white,1,68000
AZ,48,female,married,college_degree,urban,white,1,42000
AZ,48,female,married,college_degree,urban,white,1,96000
AZ,64,male,married,no_degree,urban,white,1,25000
AZ,38,female,married,college_degree,urban,white,1,43000
AZ,40,female,married,no_degree,rural,white,1,60000
AZ,60,male,married,no_degree,urban,white,1,91600
AZ,27,female,married,no_degree,urban,indigenous,1,18000
AZ,45,female,unmarried,no_degree,urban,white,1,13500
AZ,52,male,unmarried,no_degree,urban,white,1,80000
AZ,44,male,married,no_degree,urban,white,1,46200
AZ,56,female,married,no_degree,rural,white,1,35000
AZ,27,female,married,college_degree,urban,white,1,43000
AZ,58,female,unmarried,college_degree,rural,white,1,85750
AZ,41,male,unmarried,no_degree,rural,white,1,17000
AZ,34,female,married,no_degree,urban,white,1,36000
AZ,66,female,unmarried,no_degree,urban,white,1,30500
AZ,46,male,unmarried,college_degree,urban,white,1,6500
AZ,58,male,unmarried,no_degree,rural,white,1,33000
AZ,41,male,married,college_degree,urban,asian,0,96000
AZ,60,male,married,no_degree,urban,white,1,48900
AZ,26,male,unmarried,no_degree,urban,NA,1,15000
AZ,51,male,unmarried,no_degree,urban,white,1,27000
AZ,64,female,married,college_degree,urban,white,1,57500
AZ,40,male,unmarried,no_degree,urban,white,1,31000
AZ,43,male,married,college_degree,urban,white,1,140000
AZ,65,male,married,college_degree,urban,white,1,63400
AZ,36,male,unmarried,no_degree,urban,NA,0,25000
AZ,50,male,married,no_degree,urban,white,1,20000
AZ,61,male,married,college_degree,urban,white,1,75000
AZ,60,male,married,college_degree,urban,white,1,105000
AZ,46,female,married,no_degree,urban,white,1,118000
